#OTU_ID,Phylum,Species
New.CleanUp.ReferenceOTU99462,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU99584,Firmicutes,Staphylococcus aureus
New.ReferenceOTU1010,Firmicutes,Staphylococcus aureus
New.ReferenceOTU313,Firmicutes,Staphylococcus aureus
New.ReferenceOTU731,Firmicutes,Staphylococcus aureus
New.ReferenceOTU952,Firmicutes,Staphylococcus aureus
New.ReferenceOTU985,Firmicutes,Staphylococcus aureus
FJ557822.1.1408,Firmicutes,Staphylococcus capitis
FJ557891.1.1372,Firmicutes,Staphylococcus capitis
FJ557934.1.1411,Firmicutes,Staphylococcus capitis
FJ957511.1.1474,Firmicutes,Staphylococcus capitis
FJ957564.1.1515,Firmicutes,Staphylococcus capitis
FJ957768.1.1514,Firmicutes,Staphylococcus capitis
FJ957820.1.1513,Firmicutes,Staphylococcus capitis
HQ812900.1.1457,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU100421,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU106598,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU107613,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU13274,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU18023,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU19356,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU20699,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU2131,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU28595,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU33049,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU33690,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU34118,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU36787,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU46222,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU50233,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU58867,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU59346,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU60195,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU61358,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU61528,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU66606,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU69300,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU70803,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU71731,Firmicutes,Staphylococcus capitis
